,Case_Number,date_cn,Type,Activity,Country,Area,Location,Sex,Age,Injury,Fatal_(Y/N),Time,Species,original_order
1868,1999.11.00.a,1999-11-01,UNPROVOKED,SWIMMING,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,M,12.0,Lacerations to buttocks,N,,"GREY REEF SHARK, 1.2 M [4']",4125
1869,1999.10.30.b,1999-10-30,UNPROVOKED,BODY BOARDING,USA,Florida,"Daytona Beach, Volusia County",M,45.0,Right foot lacerated,N,17h30,,4124
1870,1999.10.30.a,1999-10-30,UNPROVOKED,BODY SURFING,USA,Florida,"Gulfstream Park beach, Palm Beach County",M,13.0,"Shark bit 8"" chunk from swim fin",N,15h00,,4123
1871,1999.10.20,1999-10-20,UNPROVOKED,SURFING,USA,Florida,"Pet Den, Satellite Beach, Brevard County",M,,Lacerations to right hand & wrist,N,Noon,"LEMON SHARK, 2.7 M [9']",4122
1872,1999.10.01,1999-10-01,UNPROVOKED,"SURFING, LYING ON SURFBOARD",USA,Hawaii,Old Kona Airport State Park,M,16.0,Right arm bitten,N,18h30,"TIGER SHARK, 1.8 M TO 2.4 M [6' TO 8']",4121
1873,1999.09.29,1999-09-29,UNPROVOKED,WADING TO SHORE AFTER SURFING,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",M,22.0,3 one-inch lacerations to sole of right foot,N,18h45,,4120
1874,1999.09.24,1999-09-24,BOATING,FISHING,ITALY,Adriatic Sea,San Benedetto,,,No Injury to occupants,N,,SAID TO INVOLVE A 7 M [23'] WHITE SHARK,4119
1875,1999.09.16,1999-09-16,UNPROVOKED,WADING,USA,Florida,"Cape Canaveral, Brevard County",F,61.0,Thigh (posterior) bitten,N,,UNIDENTIFIED,4118
1876,1999.09.10,1999-09-10,UNPROVOKED,WADING,USA,South Carolina,"Isle of Palms, Charleston County",F,10.0,Toes lacerated,N,Afternoon,,4117
1877,1999.09.05,1999-09-05,UNPROVOKED,SURFING,USA,Florida,"Fort Pierce Inlet, St. Lucie County",M,13.0,Right foot bitten,N,,1.5 M TO 1.8 M [5' TO 6'] SHARK,4116
1878,1999.09.04.b,1999-09-04,PROVOKED,WADING,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",M,7.0,Left knee nipped by captive shark PROVOKED INCIDENT,N,,0.9 M [3'] SHARK,4115
1879,1999.09.04.a,1999-09-04,UNPROVOKED,WADING WITH SURFBOARD,USA,Florida,"Ponce Inlet, Volusia County",M,39.0,Right foot bitten,N,19h00,,4114
1880,1999.08.26,1999-08-26,UNPROVOKED,SURFING,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",M,28.0,3-inch laceration to right foot,N,14h30,"""A SMALL SHARK""",4113
1881,1999.08.24,1999-08-24,UNPROVOKED,SURFING,USA,North Carolina,"Fort Fisher, New Hanover County",M,,Foot injured,N,,,4112
1882,1999.08.23,1999-08-23,UNPROVOKED,FISHING,MARSHALL ISLANDS,Ralik Chain,Kwajalein Atoll,M,23.0,Lacerations to left leg,N,Morning,7' SHARK,4111
1883,1999.08.21,1999-08-21,UNPROVOKED,SURFING,USA,Florida,"Ponce Inlet, Volusia County",M,17.0,Small lacerations to right foot,N,18h40,,4110
1884,1999.08.16,1999-08-16,UNPROVOKED,LYING PRONE IN 2' OF WATER,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",M,10.0,"Ear lacerated, cuts on scalp, back, arm & shoulder ",N,17h40,1.8 M [6'] SHARK,4109
1885,1999.08.05.a,1999-08-05,UNPROVOKED,BODY SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,62.0,Right ankle & heel  lacerated,N,11h25,4' TO 5' SHARK,4108
1886,1999.08.05,1999-08-05,UNPROVOKED,SPEARFISHING & HOLDING CATCH,BAHAMAS,Abaco Islands,Grand Cay,M,35.0,Right arm bitten,N,17h00,2.7 M [9']  BULL SHARK OR CARIBBEAN REEF SHARK,4107
1887,1999.07.29,1999-07-29,UNPROVOKED,SURFING,SOUTH AFRICA,Western Cape Province,Kogebaai,M,42.0,Right thigh bitten,N,14h00,"WHITE SHARK, 3 M TO 5 M [10' TO 16.5']",4106
1888,1999.07.26,1999-07-26,UNPROVOKED,SWIMMING WITH DOLPHINS,USA,Florida,"Two miles off Key Colony Beach, Monroe County",M,43.0,Ankle bitten,N,18h25,"BULL SHARK, 2.1 M [7']",4105
1889,1999.07.21,1999-07-21,UNPROVOKED,SURFING,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),M,43.0,Right thigh & buttock bitten,N,10h28,"TIGER SHARK, 1.8 M TO 2.4 M [6' TO 8']",4104
1890,1999.07.15,1999-07-15,UNPROVOKED,BOOGIE BOARDING,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),M,14.0,FATAL,Y,11h15,WHITE SHARK,4103
1891,1999.07.06,1999-07-06,UNPROVOKED,,USA,South Carolina,Charleston,M,,Five cuts on his heel,N,,,4102
1892,1999.07.04,1999-07-04,UNPROVOKED,WADING IN SCHOOL OF BAITFISH,USA,Florida,"Pensacola  Beach, Escambia County",F,30.0,Lacerations knee to ankle,N,Afternoon,"BLACKTIP SHARK, 1.8 M [6']",4101
1893,1999.07.03,1999-07-03,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",M,29.0,Leg & board bitten,N,Morning,"WHITE SHARK, 4 M [13']",4100
1894,1999.06.19,1999-06-19,UNPROVOKED,ADRIFT IN A LIFE JACKET,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",M,20.0,9-inch gash in left foot ,N,,1.2 M [4'] SHARK,4099
1895,1999.06.17,1999-06-17,UNPROVOKED,SURFING,USA,Florida,"South of Ponce Inlet, Volusia County",M,21.0,Right hand and wrist lacerated,N,09h15,3' TO 4' SHARK,4098
1896,1999.06.12,1999-06-12,UNPROVOKED,SWIMMING,USA,Florida,"Atlantiic Beach, Duval County",M,41.0,8-inch bite on calf,N,13h15,,4097
1897,1999.06.09,1999-06-09,UNPROVOKED,SPLASHING / WADING,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",M,5.0,Knee lacerated,N,16h00,BLACKTIP OR SPINNER SHARK,4096
1898,1999.05.29,1999-05-29,UNPROVOKED,WINDSURFING,AUSTRALIA,South Australia,"Hardwicke Bay, Yorke Peninsula",M,22.0,"FATAL, body not recovered",Y,14h30,THOUGHT TO INVOLVE A WHITE SHARK,4095
1899,1999.05.01,1999-05-01,UNPROVOKED,SURFING,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,21.0,Leg & hands bitten,N,Afternoon,"TIGER SHARK, 2.5 M [8.25']",4094
1900,1999.04.22,1999-04-22,UNPROVOKED,SWIMMING,MAURITIUS,Grand Baie,Pointe aux Canonniers,F,41.0,Thigh bitten,N,06h00,"GREY REEF SHARK, 1.5 M",4093
1901,1999.04.11,1999-04-11,UNPROVOKED,SWIMMING AFTER BEING SWEPT INTO SEA BY A LARGE WAVE,REUNION,L' Etang Salé-les-Bains,Roche-aux-Oiseaux,M,52.0,FATAL,Y,10h30,3 BULL SHARKS,4092
1902,1999.04.01,1999-04-01,UNPROVOKED,SURFING,USA,Florida,"Hobe Sound Beach, Palm Beach County",M,14.0,Ankle bitten,N,,,4091
1903,1999.03.18.R,1999-03-18,UNPROVOKED,SPEARFISHING & DIVING FOR PAUA,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,M,,No injury,N,,"SEVENGILL SHARK, 2.4 M [8']",4090
1904,1999.03.18.b,1999-03-18,PROVOKED,SCIENTIFIC RESEARCH (DR. SONNY GRUBER'S STUDENT),BRAZIL,Rio Grande de Norte,Atol das Rochas,M,,Grabbed small shark & it bit him  PROVOKED INCIDENT,N,,,4089
1905,1999.03.18.a,1999-03-18,UNPROVOKED,"SWIMMING, TOWING A KAYAK",USA,Hawaii,"Olowalu side of Lahina, Maui ",F,29.0,"FATAL, arm bitten ",Y,20h30,,4088
1906,1999.03.14.b,1999-03-14,UNPROVOKED,SPEARFISHING,NEW CALEDONIA,Loyalty Islands,Ouvea,M,,Multiple injuries,N,Morning,200 TO 300 KG SHARK,4087
1907,1999.03.14.a,1999-03-14,PROVOKED,FISHING,NEW ZEALAND,,,M,28.0,Right thigh bitten PROVOKED INCIDENT,N,,"MAKO SHARK, 1.3 M GAFFED",4086
1908,1999.03.08,1999-03-08,UNPROVOKED,BODY SURFING OR BODY BOARDING,USA,Hawaii,"Kealia Beach, Kaua'i",M,18.0,Bruised right leg,N,,,4085
1909,1999.03.05,1999-03-05,UNPROVOKED,SWIMMING NEAR POD OF WHALES,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",F,29.0,Tissue removed knee to thigh,N,10h45,3.7 M TO 4.6 M [12' TO 15'] SHARK SEEN IN THE VICINITY,4084
1910,1999.02.26.R,1999-02-26,BOATING,CRUISING,USA,North Carolina,Frying Pan Shoals,,,"No injury to occupants, boat sank after colliding with shark",N,,BASKING SHARK,4083
1911,1999.02.23,1999-02-23,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Scotts Head,M,35.0,"Left hand & forearm bitten, board bitten",N,Evening,BRONZE WHALER OR TIGER SHARK,4082
1912,1999.02.03,1999-02-03,UNPROVOKED,SURFING,USA,Florida,"Hobe Sound, Martin County",M,25.0,Left hand bitten,N,15h30,SPINNER SHARK,4081
1913,1999.01.29,1999-01-29,UNPROVOKED,SPEARFISHING,MAURITIUS,,Belle-Mare,M,47.0,Legs & torso injured,N,,BULL SHARK,4080
1914,1999.01.13,1999-01-13,UNPROVOKED,PADDLE SKIING,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,M,,"No Injury, ski bitten",N,,"WHITE SHARK, 4 M [13']",4079
1915,1999.01.07,1999-01-07,BOATING,INFLATABLE BOAT,NEW ZEALAND,North Island,"Papamoa, near Tauranga, Bay of Plenty",,,No injury to occupant: boat lost,N,,,4078
1916,1999.01.03.R,1999-01-03,INVALID,FISHING,AUSTRALIA,Northern Territory,Gulf of Carpenteria,F,37.0,"Cut foot, but injury caused by fishing line, not the shark",N,,SHARK INVOLVEMENT NOT CONFIRMED,4077
1917,1999.01.03,1999-01-03,UNPROVOKED,SPEARFISHING,REUNION,Saint-Leu,Pointe au Sel,,,FATAL,Y,,BULL SHARK,4076
1918,1999.00.00.b,,UNPROVOKED,SPEARFISHING,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",M,30.0,Heel lacerated,N,12h00,"WHITE SHARK, 4.6 M [15']",4075
1919,1999.00.00.a,,INVALID,BODY SURFING,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",M,,Abrasions,N,,SHARK INVOLVEMENT NOT CONFIRMED,4074
1920,1998.12.24,1998-12-24,PROVOKED,SURFING,USA,Florida,"Ormond Beach, Volusia County",M,19.0,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT ,N,08h30,,4073
1921,1998.12.22,1998-12-22,UNPROVOKED,STANDING,AUSTRALIA,South Australia,Middleton Beach,F,21.0,2 puncture wounds in left leg,N,15h30,,4072
1922,1998.12.20.R,1998-12-20,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",M,18.0,Leg bitten,N,17h00,POSSIBLY A WHITE SHARK,4071
1923,1998.12.18,1998-12-18,UNPROVOKED,SPLASHING,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,M,14.0,Right leg bitten,N,,,4070
1924,1998.12.15,1998-12-15,UNPROVOKED,SURFING,AUSTRALIA,South Australia,Middleton Beach,F,21.0,Leg injured,N,Afternoon,,4069
1925,1998.11.21,1998-11-21,UNPROVOKED,SWIMMING,USA,Florida,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",M,9.0,FATAL,Y,14h00,TIGER SHARK,4068
1926,1998.11.14,1998-11-14,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,14.0,Right foot bitten,N,08h45,1.2 M [4'] SHARK,4067
1927,1998.11.11,1998-11-11,UNPROVOKED,WALKING,USA,Florida,"South Beach Park, Indian River County",M,13.0,Survived,N,17h00,"A ""SMALL SHARK""",4066
1928,1998.11.05,1998-11-05,UNPROVOKED,SURFING,USA,Oregon,Winchester Bay,M,32.0,No injury,N,,"WHITE SHARK, 5 M  TO 6 M [16.5' TO 20']",4065
1929,1998.11.02.b,1998-11-02,PROVOKED,FISHING FOR TUNA,JAPAN,Southern Japan,460 miles off Iwakuni,M,52.0,PROVOKED INCIDENT    Knee bitten by shark trapped in net,N,,6' SHARK,4064
1930,1998.11.02.a,1998-11-02,UNPROVOKED,SURFING,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",M,22.0,"FATAL, left forearm severed  ",Y,Late afternoon,THOUGH TO INVOLVE A WHITE SHARK,4063
1931,1998.10.24,1998-10-24,UNPROVOKED,SWIMMING,USA,Florida,"Jupiter Beach, Palm Beach County",F,17.0,Minor lacerations on right ankle & foot,N,Afternoon,,4062
1932,1998.10.18,1998-10-18,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,Glengariff,M,30.0,"No injury, surfboard bitten",N,,,4061
1933,1998.10.10,1998-10-10,UNPROVOKED,SURFING,USA,Florida,"Sebastian Inlet, Indian River County",M,,Right hand bitten,N,,,4060
1934,1998.10.04,1998-10-04,UNPROVOKED,SURFING,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,17.0,Right leg bitten,N,,,4059
1935,1998.10.01.b,1998-10-01,UNPROVOKED,DIVING,REUNION,Saint-Benoît,,,,Survived,N,,,4058
1936,1998.10.01.a,1998-10-01,UNPROVOKED,,USA,Florida,"New Smyrna Beach, Volusia County",M,28.0,2 one-inch lacerations in left foot,N,14h30,,4057
1937,1998.09.27,1998-09-27,UNPROVOKED,SURFING,USA,Florida,"The Rocks, Hutchinson Island, Martin County",M,6.0,Puncture wounds to leg,N,,,4056
1938,1998.09.22,1998-09-22,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,18.0,Left arm lacerated,N,15h35,,4055
1939,1998.09.16.R,1998-09-16,UNPROVOKED,FISHING / WASHING BAIT OFF HANDS,SOUTH AFRICA,Eastern Cape Province,Kowie River,M,,Laceration to right foot,N,Dusk,,4054
1940,1998.09.14,1998-09-14,UNPROVOKED,SURFING,USA,Florida,"Stuart Beach, Martin County",M,28.0,Right foot bitten,N,,1.8 M [6'] SHARK,4053
1941,1998.09.00,1998-09-01,PROVOKED,SPEARFISHING,SENEGAL,Cap Vert Peninsula,Yoff Island,M,25.0,Bitten by harpooned shark PROVOKED INCIDENT,N,,1.5 M SHARK,4052
1942,1998.08.30,1998-08-30,UNPROVOKED,SURFING,USA,Florida,"Ponce Inlet, Volusia County",M,26.0,Toes lacerated,N,20h15,3' TO 4' SHARK,4051
1943,1998.08.27,1998-08-27,INVALID,FISHING,ITALY,Marches region,12 miles off Senigallia (Adriatic Sea),,,"No injury; no attack, shark ate the bait hanging over the side of the boat",N,,,4050
1944,1998.08.26,1998-08-26,UNPROVOKED,BOOGIE BOARDING,USA,California,"Stinson Beach, Marin County",M,16.0,"Thigh, buttocks & lower back lacerated",N,14h16,"WHITE SHARK, 5 M TO 6 M [16.5' TO 20']",4049
1945,1998.08.23.R,1998-08-23,UNPROVOKED,SPEARFISHING,USA,Virginia,Virginia Beach,M,,Lacerations to left hand,N,,"DUSKY SHARK, 12'",4048
1946,1998.08.15,1998-08-15,UNPROVOKED,SPEARFISHING,BAHAMAS,Berry Islands,Ambergris Cay,M,28.0,Calf bitten,N,16h30,"CARIBBEAN REEF SHARK, 1.2 M TO 1.5 M [4' TO 5']",4047
1947,1998.08.13,1998-08-13,UNPROVOKED,BODY-BOARDING,USA,Florida,"Ponce Inlet, Volusia County",M,11.0,Left calf injured,N,,4.5' TO 5' SHARK,4046
1948,1998.08.12,1998-08-12,PROVOKED,MOVING A SHARK IN A NET,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",M,,Lacerations to right shin  PROVOKED INCIDENT,N,,"SANDTIGER SHARK, 2 M, MALE",4045
1949,1998.08.01.b,1998-08-01,UNPROVOKED,SURFING (OR BODY BOARDING),SOUTH AFRICA,Western Cape Province,"Buffalo Bay, near Knysna",M,19.0,Legs bitten,N,,"WHITE SHARK, 4 M [13']",4044
1950,1998.08.01.a,1998-08-01,UNPROVOKED,SPEARFISHING,SOUTH AFRICA,Western Cape Province,Pringle Bay,M,24.0,Leg bitten,N,13h00,"WHITE SHARK, 4.9 M [16']",4043
1951,1998.07.26,1998-07-26,UNPROVOKED,SURFING,BRAZIL,Pernambuco,"Boa Viagem, Recife",M,,Lacerations to left foot,N,17h30,,4042
1952,1998.07.25,1998-07-25,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,13.0,Calf bitten,N,P.M.,,4041
1953,1998.07.06.b,1998-07-06,UNPROVOKED,WADING,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,M,47.0,Right leg bitten,N,,"RAGGEDTOOTH SHARK, 1.2 M [4']",4040
1954,1998.07.11,1998-07-11,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,M,16.0,Knee bitten,N,Morning,5' TO 6' SHARK,4039
1955,1998.07.06.a,1998-07-06,UNPROVOKED,SURFING,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,M,10.0,Right leg bitten,N,,"RAGGEDTOOTH SHARK, 1.2 M [4']",4038
1956,1998.06.28.a,1998-06-28,UNPROVOKED,FREE DIVING FOR ABALONE,AUSTRALIA,South Australia,South Neptune Island,M,26.0,"FATAL, left thigh and lower leg severely injured  ",Y,14h00,THOUGHT TO INVOLVE A 5.5 M WHITE SHARK NAMED KONG,4037
1957,1998.06.22,1998-06-22,UNPROVOKED,BODY BOARDING,SOUTH AFRICA,Eastern Cape Province,"Gonubie, 13 km northeast of East London",M,20.0,"FATAL, hands & calf bitten  ",Y,09h55,WHITE SHARK,4036
1958,1998.06.08,1998-06-08,UNPROVOKED,SURFING,USA,Florida,"Daytona Beach, Volusia County",M,18.0,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",N,18h00,,4035
1959,1998.06.05,1998-06-05,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,M,,Survived,N,,,4034
1960,1998.05.30,1998-05-30,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,M,17.0,Minor laceration on foot,N,,,4033
1961,1998.05.29.b,1998-05-29,UNPROVOKED,BODY BOARDING,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay near Port Elizabeth,M,15.0,Right shoulder & arm bitten,N,2 hours after Opperman,3 M TO 4 M [10' TO 13'] WHITE SHARK,4032
1962,1998.05.29.a,1998-05-29,UNPROVOKED,BODY BOARDING,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,M,16.0,Leg bitten,N,Early afternoon,UNIDENTIFIED,4031
1963,1998.05.25,1998-05-25,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,40.0,4 lacerations on the sole of his right foot,N,11h10,"LEMON SHARK, 1.5 M [5'], IDENTIFIED  BY THE SURFER",4030
1964,1998.05.16.c,1998-05-16,UNPROVOKED,SWIMMING,USA,Florida,"Pecks Lake, Martin County",F,14.0,Ankle & foot bitten,N,14h30,"1.8 M [6'] SHARK, POSSIBLY A BLACKTIP",4029
1965,1998.05.16.b,1998-05-16,UNPROVOKED,SWIMMING / SURFING,USA,Florida,"Walden Rocks, St. Lucie County",M,24.0,Left arm & wrist lacerated,N,15h00,,4028
1966,1998.05.16.a,1998-05-16,UNPROVOKED,BODY BOARDING,SOUTH AFRICA,Western Cape Province,Keurbooms,M,22.0,"Lower legs bitten, foot severed",N,14h45,4 M [13'] WHITE SHARK,4027
1967,1998.04.26,1998-04-26,UNPROVOKED,TOWING RUBBER DINGHY,MOZAMBIQUE,Gaza,"Bilene Bay, 180 km north of Maputo",F,35.0,"FATAL, torso & abdomen bitten, forearm severed ",Y,15h05,3 M [10'] SHARK,4026
1968,1998.04.21,1998-04-21,UNPROVOKED,SURFING (LYING PRONE ON HIS BOARD),USA,Oregon,Gleneden Beach,M,50.0,Right thigh bitten,N,09h30 ,5 M [16.5'] WHITE SHARK,4025
1969,1998.04.17,1998-04-17,PROVOKED,SCUBA DIVING,USA,Florida,"Marathon, Monroe County",M,16.0,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",N,,"NURSE SHARK, 0.9 M [3']",4024
1970,1998.04.01,1998-04-01,UNPROVOKED,SWIMMING,BRAZIL,Pernambuco,"Boa Viagem, Recife",M,,FATAL,Y,,,4023
1971,1998.04.00,1998-04-01,UNPROVOKED,,NEW CALEDONIA,,Île de Sable,,,Calf bitten,N,,,4022
1972,1998.03.31,1998-03-31,UNPROVOKED,SWIMMING,USA,Florida,"Jensen Beach Park, Martin County",M,40.0,Heel lacerated,N,15h30,,4021
1973,1998.03.15,1998-03-15,UNPROVOKED,SNORKELING – HUNTING CRAYFISH AND ABALONE,SOUTH AFRICA,Western Cape Province,Saldanha Bay,M,33.0,Lower leg lacerated,N,17h30,3 M [10'] WHITE SHARK,4020
1974,1998.03.08.a,1998-03-08,UNPROVOKED,SWIMMING OR PADDLE BOARDING,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",M,32.0,6 puncture wounds to right calf,N,Morning,5' SPINNER SHARK,4019
1975,1998.02.23,1998-02-23,UNPROVOKED,SWIMMING,USA,Florida,"Jensen Beach, Martin County",M,,Hands bitten,N,09h35,SPINNER SHARK,4018
1976,1998.01.28.R ,1998-01-28,INVALID,SPEARFISHING,AUSTRALIA,New South Wales,Whale Beach,M,31.0,"Missing, thought to have been taken by a shark",Y,20h00,SHARK INVOLVEMENT NOT CONFIRMED,4017
1977,1998.01.28.a,1998-01-28,UNPROVOKED,WINDSURFING,NEW CALEDONIA,South Province,l'Anse-Vata,M,,"No injury, board bumped & fin damaged",N,,1.7 M SHARK,4016
1978,1998.01.25.b,1998-01-25,UNPROVOKED,BATHING,REUNION,Grand'Anse,,M,,FATAL,Y,Mid afternoon,,4015
1979,1998.01.25.a,1998-01-25,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,East London,M,21.0,Calf & foot lacerated,N,,,4014
1980,1998.01.17,1998-01-17,UNPROVOKED,SURFING,AUSTRALIA,South Australia,Middleton Beach,M,,20 punctures in right foot,N,Afternoon,,4013
1981,1998.01.14,1998-01-14,UNPROVOKED,SURFING,MOZAMBIQUE,Maputo Province,Ponta do Ouro,M,23.0,Leg bitten,N,13h15,SMALL DUSKY SHARK OR BLACKFIN SHARK,4012
1982,1998.00.00.c,,UNPROVOKED,SURFING,SOUTH AFRICA,Eastern Cape Province,Hole-in-the Wall,M,28.0,FATAL,Y,,,4011
1983,1998.00.00.b,,UNPROVOKED,DIVING,REUNION,Beaufonds,,,,FATAL,Y,,,4010
1984,1998.00.00.a,,UNPROVOKED,SPEARFISHING ON SCUBA & TRANSFERRING FISH ONTO A STRINGER,USA,Virginia,"Wreck of the Navy Barge, 22 miles SE of Rudee ",M,,Shark grasped diver's gloved hand. Glove was soaked with fish blood & slime,N,,SANDTIGER SHARK,4009
1985,1997.12.28.b,1997-12-28,UNPROVOKED,SPEARFISHING,SOUTH AFRICA,Western Cape Province,"Pringle Bay, 44 miles southeast of Cape Town",M,39.0,FATAL,Y,14h00,WHITE SHARK,4008
1986,1997.12.28.a,1997-12-28,UNPROVOKED,SITTING ON SURFBOARD,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,M,,Calf bitten,N,,,4007
1987,1997.12.25.b,1997-12-25,INVALID,,USA,Florida,"Fort Lauderdale, Broward County",F,29.0,"Ankle bitten, but shark involvement unconfirmed",N,,SHARK INVOLVEMENT NOT CONFIRMED,4006
1988,1997.12.25.a,1997-12-25,UNPROVOKED,SWIMMING,USA,Florida,"Hollywood Beach, Broward County",M,8.0,Left leg gashed knee to ankle,N,,,4005
1989,1997.11.09,1997-11-09,UNPROVOKED,SCUBA DIVING (SUBMERGED RIDING A SCOOTER),AUSTRALIA,Western Australia,Albany,M,42.0,Left arm lacerated when shark grabbed scooter,N,Morning,WHITE SHARK,4004
1990,1997.11.05.R,1997-11-05,UNPROVOKED,SWIMMING,USA,Florida,,M,32.0,Thigh bitten,N,Mid morning,,4003
1991,1997.11.05,1997-11-05,INVALID,UNKNOWN,AUSTRALIA,New South Wales,Botany Bay?,M,21.0,5 m white shark obsrved feeding on remains 6 days later,Y,,SHARK INVOLVEMENT IN HIS DEATH UNCOFIRMED,4002
1992,1997.10.28.b,1997-10-28,UNPROVOKED,SURF-SKIING,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",M,51.0,"Sierakowski suffered a minor facial injury, ski bitten in half by shark",N,,5.5 M [18'] WHITE SHARK,4001
1993,1997.10.28.a,1997-10-28,UNPROVOKED,BODY BOARDING OR SURFING,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",M,19.0,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",N,07h20,"TIGER SHARK, 4 M TO 4.3 M [13' TO 14']",4000
1994,1997.10.24,1997-10-24,UNPROVOKED,SURFING,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",M,23.0,"5"" gash in foot",N,17h15,POSSIBLY A BLACKTIP SHARK,3999
1995,1997.10.21,1997-10-21,UNPROVOKED,SURFING,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",M,12.0,Left foot bitten,N,18h00,1.2 M TO 1.5 M [4' TO 5'] SHARK,3998
1996,1997.10.11.R,1997-10-11,BOATING,FISHINGAT,SOUTH AFRICA,Eastern Cape Province,Off Port Alfred,,,"No injury, hooked shark bit their 4.8 m inflatable boat",N,,SOUPFIN SHARK,3997
1997,1997.10.04,1997-10-04,UNPROVOKED,SWIMMING,USA,Florida,"Daytona Beach, Volusia County",F,14.0,Laceration & 3 puncture wounds to anterior right thigh,N,08h30,,3996
1998,1997.09.16,1997-09-16,UNPROVOKED,SWIMMING,BRAZIL,Pernambuco,"Boa Viagem, Recife",M,20.0,FATAL,Y,,,3995
1999,1997.09.09,1997-09-09,UNPROVOKED,SURFING,USA,Florida,Volusia County  ,M,12.0,Laceration to right foot,N,17h15,,3994
2000,1997.09.08,1997-09-08,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",,17.0,2 small lacerations to bottom of foot,N,Evening,SMALL BLACKTIP SHARK,3993
2001,1997.09.06,1997-09-06,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,20.0,Lacerations to lower left leg,N,15h20,,3992
2002,1997.08.30,1997-08-30,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,18.0,Lacerations on right ankle & heel,N,13h00,,3991
2003,1997.08.27,1997-08-27,UNPROVOKED,WALKING / SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,22.0,"2"" laceration on left heel",N,11h20,,3990
2004,1997.08.24,1997-08-24,UNPROVOKED,SURFING (SITTING ON HIS BOARD),USA,California,"Clam Beach, near Eureka, Humboldt County",M,29.0,Leg & hand bitten,N,12h30,5 M [16.5'] WHITE SHARK,3989
2005,1997.08.14.b,1997-08-14,INVALID,SCUBA DIVING,MEXICO,Quintana Roo,"Santa Rosa, Cozumel",M,28.0,FATAL,Y,,SHARK INVOLVEMENT NOT CONFIRMED,3988
